date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:03:14	32819/32819	---MCZ	200	added ('OK')	text/css	date:Thu,%2027%20Oct%202022%2019:03:13%20GMT	https://forestglasstest0.weebly.com/files/main_style.css?1666888719	D:/DocumentsD/HTTrack/Portfolio%20Site%20Second%20Draft/forestglasstest0.weebly.com/files/main_style96c5.css	(from https://forestglasstest0.weebly.com/)
15:03:15	1758/1758	---M-Z	200	added ('OK')	text/css	etag:%22634da0e4-6de%22	http://cdn2.editmysite.com/fonts/Quattrocento_Sans/font.css?2	D:/DocumentsD/HTTrack/Portfolio%20Site%20Second%20Draft/cdn2.editmysite.com/fonts/Quattrocento_Sans/fontc81e.css	(from https://forestglasstest0.weebly.com/)
15:03:15	856/856	---M-Z	200	added ('OK')	text/css	etag:%22634da0e4-358%22	http://cdn2.editmysite.com/fonts/Quattrocento/font.css?2	D:/DocumentsD/HTTrack/Portfolio%20Site%20Second%20Draft/cdn2.editmysite.com/fonts/Quattrocento/fontc81e.css	(from https://forestglasstest0.weebly.com/)
15:03:15	2602/2602	---M-Z	200	added ('OK')	text/css	etag:%226352a864-a2a%22	http://cdn2.editmysite.com/fonts/Open_Sans/font.css?2	D:/DocumentsD/HTTrack/Portfolio%20Site%20Second%20Draft/cdn2.editmysite.com/fonts/Open_Sans/fontc81e.css	(from https://forestglasstest0.weebly.com/)
15:03:15	7160/7160	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2027%20Oct%202022%2019:03:15%20GMT	https://forestglasstest0.weebly.com/files/templateArtifacts.js?1666888719	D:/DocumentsD/HTTrack/Portfolio%20Site%20Second%20Draft/forestglasstest0.weebly.com/files/templateArtifacts96c5.js	(from https://forestglasstest0.weebly.com/)
15:03:18	182157/182157	---M-Z	200	added ('OK')	application/javascript	etag:%226358567a-2c78d%22	http://cdn2.editmysite.com/js/lang/en/stl.js?buildTime=1666735171&	D:/DocumentsD/HTTrack/Portfolio%20Site%20Second%20Draft/cdn2.editmysite.com/js/lang/en/stl557b.js	(from https://forestglasstest0.weebly.com/)
15:03:18	850/850	---MC-	200	added ('OK')	text/javascript	date:Thu,%2027%20Oct%202022%2019:03:16%20GMT	https://www.google.com/recaptcha/api.js	D:/DocumentsD/HTTrack/Portfolio%20Site%20Second%20Draft/www.google.com/recaptcha/api.js	(from https://forestglasstest0.weebly.com/)
15:03:19	24886/24886	---M-Z	200	added ('OK')	text/html	etag:W/%22bb4d444720980a52544d35138fb55f18-gzip%22	https://forestglasstest0.weebly.com/from-the-creative-nothing--to-the-creative-nothing.html	D:/DocumentsD/HTTrack/Portfolio%20Site%20Second%20Draft/forestglasstest0.weebly.com/from-the-creative-nothing--to-the-creative-nothing.html	(from https://forestglasstest0.weebly.com/)
15:03:20	26014/26014	---M-Z	200	added ('OK')	text/html	etag:W/%2275f9788d6260bac2d283f5cba33dc9c4-gzip%22	https://forestglasstest0.weebly.com/do-you-see-me-now.html	D:/DocumentsD/HTTrack/Portfolio%20Site%20Second%20Draft/forestglasstest0.weebly.com/do-you-see-me-now.html	(from https://forestglasstest0.weebly.com/)
15:03:21	24798/24798	---M-Z	200	added ('OK')	text/html	etag:W/%229b8afaf21beb9b81b062a7af2f646327-gzip%22	https://forestglasstest0.weebly.com/about.html	D:/DocumentsD/HTTrack/Portfolio%20Site%20Second%20Draft/forestglasstest0.weebly.com/about.html	(from https://forestglasstest0.weebly.com/)
